Setpoint, C:;300

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;26.1;124.9;0;0
2;26.1;124.9;0;0
3;26.1;124.9;0;0
4;26.1;124.9;0;0
5;26;124.9;0;0
6;26.1;124.9;0;0
7;26.1;124.9;0;0
8;26.1;124.9;0;0
9;26.1;124.9;1;1
10;26.1;124.9;1;1
11;26.1;124.9;1;1
12;26.1;124.9;1;1
13;26.1;124.9;1;1
14;26.1;124.9;1;1
15;26.1;124.9;1;1
16;26.2;124.9;1;1
17;26.2;124.9;1;1
18;26.3;124.9;1;1
19;26.4;124.9;1;1
20;26.5;124.9;1;1
21;26.6;124.9;1;1
22;26.7;124.9;1;1
23;26.9;124.9;1;1
24;27;124.9;1;1
25;27.2;124.9;1;1
26;27.3;124.9;1;1
27;27.5;124.9;1;1
28;27.7;124.9;1;1
29;27.9;124.9;1;1
30;28.1;124.9;1;1
31;28.3;124.9;1;1
32;28.5;124.9;1;1
33;28.7;124.9;1;1
34;28.9;124.9;1;1
35;29.2;124.9;1;1
36;29.4;124.9;1;1
37;29.6;124.9;1;1
38;29.8;124.9;1;1
39;30;124.9;1;1
40;30.3;124.9;1;1
41;30.4;124.9;1;1
42;30.6;124.9;1;1
43;30.9;124.9;1;1
44;31;124.9;1;1
45;31.3;124.9;1;1
46;31.6;124.9;1;1
47;31.8;124.9;1;1
48;32;124.9;1;1
49;32.2;124.9;1;1
50;32.5;124.9;1;1
51;33;124.9;1;1
52;33.2;124.9;1;1
53;33.5;124.9;1;1
54;33.5;124.9;1;1
55;33.8;124.9;1;1
56;34.3;124.9;1;1
57;34.6;124.9;1;1
58;34.8;124.9;1;1
59;35.1;124.9;1;1
60;35.3;124.9;1;1
61;35.7;124.9;1;1
